settled_date,league,home_team,away_team,market,bets,staked,profit_loss,roi_pct,pdf_proof
2026-03-11,Bundesliga,SC Freiburg,Bayer Leverkusen,1X2,1,100,-100,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388526_1x2_07.03.2026%20SC%20Freiburg%20vs%20Bayer%2004%20Leverkusen.pdf
2026-03-11,Bundesliga,VfL Wolfsburg,Hamburger SV,1X2,1,100,-100,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388532_1x2_07.03.2026%20VfL%20Wolfsburg%20vs%20Hamburger%20SV.pdf
2026-03-11,Ligue 1,Lyon,Paris FC,1X2,3,300,-300,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1387918_1x2_08.03.2026%20Olympique%20Lyonnais%20vs%20Paris%20FC.pdf
2026-03-11,La Liga,Valencia,Alaves,1X2,3,300,299.96,100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391087_1x2_08.03.2026%20Valencia%20CF%20vs%20Deportivo%20Alaves.pdf
2026-03-11,La Liga,Getafe,Real Betis,1X2,1,100,-100,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391083_1x2_23.04.2026%20Real%20Sociedad%20vs%20Getafe%20CF%20(1x2).pdf
2026-03-11,UEFA Champions League,Newcastle,Barcelona,1X2,2,171,-171,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1528319_1x2_10.03.2026%20Newcastle%20United%20vs%20Barcelona.pdf
2026-03-11,UEFA Champions League,Bayer Leverkusen,Arsenal,1X2,2,111,299.57,269.9,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1528322_1x2_11.03.2026%20Bayer%2004%20Leverkusen%20vs%20Arsenal%20(OU).pdf
2026-03-12,UEFA Champions League,Bodo/Glimt,Sporting CP,1X2,3,243,298.89,123,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1528325_1x2_11.03.2026%20Bodo%20Glimt%20vs%20Sporting%20Lisbon.pdf
2026-03-17,Bundesliga,Bayer Leverkusen,Bayern München,1X2,2,200,-200,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388533_1x2_16.04.2026%20Bayern%20Munchen%20vs%20Real%20Madrid%20(1x2).pdf
2026-03-17,Bundesliga,1899 Hoffenheim,VfL Wolfsburg,1X2,3,300,-300,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388539_1x2_14.03.2026%20TSG%201899%20Hoffenheim%20vs%20VfL%20Wolfsburg.pdf
2026-03-17,Premier League,Sunderland,Brighton,1X2,3,300,299.28,99.8,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379267_1x2_14.03.2026%20Sunderland%20vs%20Brighton%20&%20Hove%20Albion.pdf
2026-03-17,Premier League,Burnley,Bournemouth,1X2,3,250,-250,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379261_1x2_14.03.2026%20Burnley%20vs%20AFC%20Bournemouth.pdf
2026-03-17,Serie A,Napoli,Lecce,1X2,3,222,298.82,134.6,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378148_1x2_14.03.2026%20Napoli%20vs%20Lecce.pdf
2026-03-17,Ligue 1,Lorient,Lens,1X2,2,168,-168,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1387925_1x2_14.03.2026%20Lorient%20vs%20RC%20Lens.pdf
2026-03-17,La Liga,Girona,Athletic Club,1X2,1,100,95.15,95.2,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391093_1x2_14.03.2026%20Girona%20vs%20Athletic%20Bilbao%20(1x2).pdf
2026-03-17,Serie A,Como,AS Roma,1X2,2,200,-200,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378144_1x2_15.03.2026%20Como%20vs%20AS%20Roma.pdf
